"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2018",3.4789499374883,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2019",1.6346819096398,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2020",1.2153306024464,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2021",2.7442107314442,
"CZE","FDIFLOW","OUTWARD","PC_GDP","A","2022",0.85167063683977,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2005",8614.0991644569,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2006",9161.0297829379,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2007",7233.4092746381,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2008",-667.97411257109,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2009",1427.958353547,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2010",-9179.0739456036,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2011",11456.731128201,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2012",643.63447918466,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2013",1044.7150129944,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2014",4679.730186698,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2015",3617.3313111488,
"DNK","FDIFLOW","INWARD","MLN_USD","A","2016",235.03892553634,
